company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,delay_minutes,difficulty_score,difficulty_quartile,transfer_bags,ssr_count,load_factor,ground_time_ratio
OO,4792,2025-08-04,ORD,ROA,7.0,26.40546685057339,Q3 (Hard),36,41,82.89473684210526,1.2352941176470589
UA,920,2025-08-03,ORD,LHR,22.0,25.706743347092953,Q3 (Hard),53,60,91.61676646706587,1.6206896551724137
UA,1776,2025-08-10,ORD,PHL,111.0,20.211764186946933,Q2 (Moderate),39,41,100.0,1.4901960784313726
OO,5790,2025-08-06,ORD,CRW,105.0,12.68871247168951,Q1 (Easy),40,30,94.0,7.689655172413793
UA,1398,2025-08-05,ORD,ATL,-4.0,36.1748787258403,Q4 (Very Hard),51,96,76.50602409638554,1.4705882352941178
OO,5470,2025-08-07,ORD,GEG,-4.0,18.44466697509825,Q2 (Moderate),26,23,88.1578947368421,1.4411764705882353
UA,374,2025-08-15,ORD,MSP,28.0,31.64166375243304,Q4 (Very Hard),62,85,98.4126984126984,1.255813953488372
UA,1577,2025-08-15,ORD,SFO,-1.0,29.92598208106471,Q3 (Hard),66,88,95.72649572649573,1.8636363636363635
UA,2006,2025-08-09,ORD,GUA,10.0,33.18935355069924,Q4 (Very Hard),59,80,96.3855421686747,1.3846153846153846
UA,307,2025-08-14,ORD,COS,-4.0,32.312599434373205,Q4 (Very Hard),30,68,67.59776536312849,1.6785714285714286
UA,1538,2025-08-08,ORD,SAV,-6.0,21.624085031399225,Q3 (Hard),18,73,94.44444444444444,2.3255813953488373
UA,1006,2025-08-02,ORD,LGA,60.0,30.81019007607797,Q3 (Hard),36,85,100.0,1.2352941176470589
G7,4395,2025-08-14,ORD,TVC,86.0,12.282768501745196,Q1 (Easy),34,29,92.0,4.551724137931035
UA,1538,2025-08-06,ORD,SAV,-8.0,21.887422414000373,Q3 (Hard),31,73,80.95238095238095,2.2093023255813953
UA,2138,2025-08-08,ORD,LGA,-4.0,29.284233586418328,Q3 (Hard),41,72,92.7710843373494,1.2156862745098038
G7,4481,2025-08-15,ORD,GRR,-4.0,13.56914873764134,Q1 (Easy),37,17,82.0,22.20689655172414
OO,5108,2025-08-14,ORD,SLN,-6.0,14.26687795917867,Q2 (Moderate),18,33,80.0,2.9310344827586206
YX,3568,2025-08-15,ORD,YYZ,-2.0,9.727121300031797,Q1 (Easy),19,26,100.0,1.7857142857142858
OO,4739,2025-08-03,ORD,GRB,-1.0,11.161833281872264,Q1 (Easy),35,31,100.0,2.3793103448275863
UA,664,2025-08-02,ORD,LGA,1.0,20.942503313634504,Q2 (Moderate),29,75,96.3855421686747,7.8431372549019605
OO,5517,2025-08-04,ORD,PVD,-1.0,9.805614079365709,Q1 (Easy),32,18,96.05263157894737,2.5588235294117645
UA,1156,2025-08-08,ORD,MSY,19.0,42.34947431917631,Q4 (Very Hard),78,80,92.73743016759776,1.1071428571428572
G7,4387,2025-08-06,ORD,CID,-15.0,9.923390822732944,Q1 (Easy),38,19,100.0,2.586206896551724
UA,1361,2025-08-11,ORD,STL,20.0,30.331073937250785,Q3 (Hard),94,48,100.0,1.3953488372093024
UA,2323,2025-08-03,ORD,MCO,-6.0,27.114467663293606,Q3 (Hard),27,55,100.0,1.564516129032258
OO,5229,2025-08-13,ORD,ILM,-5.0,22.56787916471958,Q3 (Hard),11,16,68.42105263157895,1.3823529411764706
YX,3700,2025-08-02,ORD,BNA,15.0,20.96735669780348,Q2 (Moderate),29,10,100.0,0.14705882352941177
G7,4610,2025-08-15,ORD,XNA,-3.0,8.157257298831098,Q1 (Easy),23,16,94.0,2.0344827586206895
UA,1414,2025-08-13,ORD,BOI,-5.0,37.39831762266586,Q4 (Very Hard),63,70,84.66666666666667,1.2826086956521738
UA,1156,2025-08-13,ORD,MSY,1.0,44.838769260715594,Q4 (Very Hard),28,80,37.988826815642454,1.3035714285714286
UA,247,2025-08-13,ORD,OMA,-7.0,38.20866478937736,Q4 (Very Hard),51,83,65.33333333333333,1.5
UA,2378,2025-08-08,ORD,LAX,8.0,40.82958294430313,Q4 (Very Hard),106,47,94.0,1.2419354838709677
OO,5930,2025-08-14,ORD,FAR,100.0,8.687642124138051,Q1 (Easy),22,23,96.0,7.068965517241379
YX,3628,2025-08-11,ORD,IND,-5.0,16.401753193498887,Q2 (Moderate),35,20,100.0,1.3235294117647058
OO,5564,2025-08-01,ORD,SBN,9.0,12.559404574140427,Q1 (Easy),35,29,94.0,1.9655172413793103
UA,2361,2025-08-13,ORD,LAX,-3.0,30.280975549692478,Q3 (Hard),47,46,53.41880341880342,10.030303030303031
YX,3520,2025-08-05,ORD,CVG,0.0,17.05791480618327,Q2 (Moderate),28,13,72.36842105263158,4.764705882352941
OO,5362,2025-08-14,ORD,MKE,-5.0,12.697639149573419,Q1 (Easy),38,32,96.0,3.103448275862069
OO,5251,2025-08-03,ORD,ASE,8.0,12.628526231359935,Q1 (Easy),28,23,88.57142857142857,2.0
G7,4429,2025-08-07,ORD,FSD,-1.0,8.442288882008839,Q1 (Easy),21,24,96.0,1.9655172413793103
UA,1899,2025-08-01,ORD,YYC,74.0,26.180974788063395,Q3 (Hard),38,48,100.79365079365078,1.3461538461538463
UA,2137,2025-08-03,ORD,SLC,-2.0,33.01600229107497,Q4 (Very Hard),58,62,91.56626506024097,1.3333333333333333
UA,1576,2025-08-10,ORD,LGA,0.0,10.551394469385516,Q1 (Easy),13,19,100.0,1.5686274509803921
UA,2004,2025-08-11,ORD,SYR,8.0,26.25253017821721,Q3 (Hard),82,49,98.0,1.826086956521739
UA,343,2025-08-02,ORD,SFO,-1.0,28.62629062740697,Q3 (Hard),34,104,100.49999999999999,17.403225806451612
UA,2370,2025-08-11,ORD,BOS,0.0,29.882613061731885,Q3 (Hard),57,81,100.0,1.4107142857142858
UA,2189,2025-08-01,ORD,LGA,-4.0,17.31217886294722,Q2 (Moderate),7,62,100.0,1.6
UA,481,2025-08-12,ORD,RNO,129.0,30.177492327699994,Q3 (Hard),50,54,55.55555555555556,2.2093023255813953
UA,1209,2025-08-15,ORD,EWR,5.0,37.68691528682565,Q4 (Very Hard),71,65,94.97206703910615,1.1964285714285714
UA,2177,2025-08-15,ORD,MSN,30.0,35.63299147136662,Q4 (Very Hard),86,30,96.03174603174604,0.20930232558139536
UA,909,2025-08-13,ORD,AMS,34.0,34.37409391707196,Q4 (Very Hard),123,97,100.0,2.9473684210526314
UA,1584,2025-08-05,ORD,LAX,0.0,18.896326808518353,Q2 (Moderate),13,55,100.0,11.46774193548387
YX,3690,2025-08-13,ORD,IND,-9.0,16.98406937260493,Q2 (Moderate),39,19,86.8421052631579,1.6764705882352942
YX,3542,2025-08-15,ORD,YUL,-5.0,19.194694142938378,Q2 (Moderate),34,20,97.36842105263158,1.2619047619047619
OO,4791,2025-08-14,ORD,SBN,-8.0,10.029778269912637,Q1 (Easy),25,23,98.0,1.9310344827586208
UA,2011,2025-08-11,ORD,YVR,12.0,38.74515994042311,Q4 (Very Hard),84,87,96.0,1.1166666666666667
UA,1946,2025-08-15,ORD,LGA,-1.0,15.181001192419286,Q2 (Moderate),12,57,96.3855421686747,2.0588235294117645
OO,5292,2025-08-02,ORD,MTY,-4.0,10.179777997667186,Q1 (Easy),12,48,98.68421052631578,18.0
UA,845,2025-08-12,ORD,GRU,115.0,62.21177745259278,Q4 (Very Hard),244,212,66.35220125786164,1.935483870967742
YX,3525,2025-08-13,ORD,YYZ,-2.0,17.17133894287753,Q2 (Moderate),26,23,98.68421052631578,1.380952380952381
UA,2677,2025-08-06,ORD,IAD,194.0,28.515228995973374,Q3 (Hard),38,104,82.38636363636364,1.8934426229508197
UA,767,2025-08-13,ORD,DEN,38.0,33.397758791515834,Q4 (Very Hard),55,44,92.5,0.3548387096774194
OO,5026,2025-08-13,ORD,JST,13.0,21.16820043379643,Q2 (Moderate),23,19,82.0,1.3793103448275863
OO,5493,2025-08-05,ORD,ATW,-4.0,8.553480210554248,Q1 (Easy),28,18,96.0,3.6551724137931036
G7,4519,2025-08-06,ORD,SCE,-12.0,10.279173925304677,Q1 (Easy),12,18,82.0,2.413793103448276
OO,4791,2025-08-04,ORD,SBN,-5.0,10.61517083532027,Q1 (Easy),23,23,90.0,1.9310344827586208
UA,592,2025-08-03,ORD,JAC,9.0,30.22348575654258,Q3 (Hard),71,52,99.20634920634922,1.3255813953488371
G7,4590,2025-08-01,ORD,MDT,-9.0,15.035097853869829,Q2 (Moderate),22,26,98.0,1.4482758620689655
YX,3464,2025-08-13,ORD,PIT,15.0,8.424565501500094,Q1 (Easy),36,14,97.36842105263158,3.641025641025641
OO,5963,2025-08-14,ORD,BDL,13.0,11.041635046956893,Q1 (Easy),28,18,98.57142857142858,1.7352941176470589
OO,5447,2025-08-10,ORD,PVD,-6.0,14.796479593959559,Q2 (Moderate),31,19,81.42857142857143,2.088235294117647
UA,1495,2025-08-05,ORD,TVC,6.0,39.95392198110847,Q4 (Very Hard),17,68,45.33333333333333,1.2391304347826086
UA,2100,2025-08-08,ORD,SLC,0.0,32.81004267261679,Q4 (Very Hard),65,85,99.3975903614458,1.3333333333333333
UA,2640,2025-08-05,ORD,DCA,-1.0,23.457499978161827,Q3 (Hard),10,34,46.82539682539682,2.3333333333333335
UA,224,2025-08-01,ORD,BZN,6.0,23.733011670635637,Q3 (Hard),62,68,96.98795180722891,3.433333333333333
OO,5392,2025-08-15,ORD,OKC,4.0,18.003639563661025,Q2 (Moderate),39,24,76.31578947368422,4.230769230769231
OO,5984,2025-08-05,ORD,BIL,10.0,12.403950645984537,Q1 (Easy),32,24,94.73684210526315,2.2941176470588234
